Everyone really likes the newest benefits,LS RB VBZ DT JJS NNS ,meta advmod ROOT det amod dobj ,0
The Government Executive articles housed on the website are not able to be searched.,DT NNP NNP NNS VBD IN DT NN VBP RB JJ TO VB VBN . ,det compound compound nsubj acl prep det pobj ROOT neg acomp aux auxpass xcomp punct ,0
"I like him for the most part, but would still enjoy seeing someone beat him.","PRP VBP PRP IN DT JJS NN , CC MD RB VB VBG NN VBD PRP . ",nsubj ROOT dobj prep det amod pobj punct cc aux advmod conj xcomp nsubj ccomp dobj punct ,0
My favorite restaurants are always at least a hundred miles away from my house.,PRP$ JJ NNS VBP RB IN JJS DT CD NNS RB IN PRP$ NN . ,poss amod nsubj ROOT advmod advmod advmod quantmod nummod npadvmod advmod prep poss pobj punct ,0
I know exactly.,PRP VBP RB . ,nsubj ROOT advmod punct ,0
We have plenty of space in the landfill.,PRP VBP NN IN NN IN DT NN . ,nsubj ROOT dobj prep pobj prep det pobj punct ,0
I did that all through college but it never worked,PRP VBD IN DT IN NN CC PRP RB VBD ,nsubj ROOT dobj advmod prep pobj cc nsubj neg ROOT ,0
Most of Mrinal Sen's work can be found in European collections.,JJS IN NNP NNP POS NN MD VB VBN IN JJ NNS . ,nsubjpass prep compound poss case pobj aux auxpass ROOT prep amod pobj punct ,0
THe strike price could be $8.,DT NN NN MD VB $ CD . ,compound compound nsubj aux ROOT nmod attr punct ,0
Would you rise up and defeaat all evil lords in the town?,MD PRP VB RP CC VB DT JJ NNS IN DT NN . ,aux nsubj ROOT prt cc conj det amod dobj prep det pobj punct ,0
"Go downwards to one of the gates, all of which will lead you into the cathedral.","VB RB IN CD IN DT NNS , DT IN WDT MD VB PRP IN DT NN . ",ROOT advmod prep pobj prep det pobj punct nsubj prep pobj aux relcl dobj prep det pobj punct ,0
The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,DT NNS POS NN NN VBD DT RB JJ NN IN NN . ,det poss case compound nsubj ROOT det advmod amod dobj prep pobj punct ,0
Everyone involved was the same age.,NN VBN VBD DT JJ NN . ,nsubj acl ROOT det amod attr punct ,0
Severn said the people were not welcome there.,NNP VBD DT NNS VBD RB JJ RB . ,nsubj ROOT det nsubj ccomp neg acomp advmod punct ,0
